id,product_name,price
699,Icecream Bar - Del Monte,$0.39
700,"Mushrooms - Black, Dried",$7.31
701,"Soup - Clam Chowder, Dry Mix",$0.24
702,"Wine - Red, Concha Y Toro",$2.22
703,Sugar - Individual Portions,$3.73
704,"Trout - Rainbow, Fresh",$7.12
705,Container - Clear 32 Oz,$1.80
706,Sprouts - Bean,$9.17
707,Sprite - 355 Ml,$6.83
708,Chips - Miss Vickies,$1.03
709,Nantucket - Orange Mango Cktl,$4.68
710,Parsnip,$7.10
711,Longos - Chicken Caeser Salad,$7.30
712,Pork - Ham Hocks - Smoked,$9.97
713,Bag Stand,$2.29
714,Wooden Mop Handle,$6.41
715,"Wine - Magnotta, White",$4.48
716,Cookies Almond Hazelnut,$5.89
717,Dc - Frozen Momji,$2.63
718,Irish Cream - Butterscotch,$3.62
719,Bread Roll Foccacia,$0.29
720,Iced Tea Concentrate,$6.00
721,Tomatoes - Orange,$3.29
722,"Stock - Beef, White",$1.97
723,Fiddlehead - Frozen,$8.31
724,"Mushroom - Morels, Dry",$0.80
725,Eggplant Oriental,$8.98
726,Bagelers - Cinn / Brown Sugar,$6.90
727,Chicken Thigh - Bone Out,$6.15
728,Sugar - Crumb,$0.85
729,Lid - 3oz Med Rec,$3.50
730,"Carrots - Mini, Stem On",$8.87
731,Wine - Port Late Bottled Vintage,$2.50
732,Tea - Green,$8.35
733,Beer - Rickards Red,$8.72
734,Nantucket - Carrot Orange,$0.12
735,Beef - Rib Eye Aaa,$1.19
736,Pears - Bosc,$3.16
737,Soup - Verve - Chipotle Chicken,$8.90
738,The Pop Shoppe - Cream Soda,$5.00
739,"Wine - White, Mosel Gold",$1.38
740,"Bread - Dark Rye, Loaf",$9.58
741,Beer - Fruli,$6.05
742,Cloves - Ground,$2.31
743,"Doilies - 8, Paper",$0.55
744,Scallops - Live In Shell,$9.91
745,Juice - Orangina,$4.24
746,Bread Fig And Almond,$4.96
747,Crackers - Soda / Saltins,$0.92
748,"Pork - Tenderloin, Fresh",$0.53
749,Wine - Wyndham Estate Bin 777,$3.91
750,Wine - Charddonnay Errazuriz,$1.73
751,Jagermeister,$3.79
752,Muffin Mix - Raisin Bran,$2.17
753,Creamers - 10%,$7.02
754,Towel Dispenser,$7.15
755,Flavouring - Rum,$8.34
756,Cheese Cloth,$9.81
757,Galliano,$1.32
758,V8 - Tropical Blend,$6.88
759,"Syrup - Monin, Irish Cream",$8.97
760,Chocolate - Unsweetened,$9.03
761,"Cheese - Cheddar, Old White",$4.32
762,Orange - Tangerine,$5.85
763,Cake - Miini Cheesecake Cherry,$8.70
764,"Wine - Red, Mosaic Zweigelt",$0.48
765,"Lamb - Loin, Trimmed, Boneless",$1.42
766,Island Oasis - Wildberry,$0.72
767,Corn Kernels - Frozen,$9.48
768,Cheese - Shred Cheddar / Mozza,$7.41
769,"Wine - Niagara,vqa Reisling",$8.77
770,Juice - Propel Sport,$0.85
771,Toothpick Frilled,$1.99
772,Mix Pina Colada,$6.69
773,Beef - Montreal Smoked Brisket,$8.60
774,Versatainer Nc - 9388,$4.01
775,"Jam - Blackberry, 20 Ml Jar",$3.37
776,Sesame Seed Black,$6.78
777,"Coffee - Beans, Whole",$2.54
778,Cucumber - Pickling Ontario,$9.18
779,Crackers - Soda / Saltins,$8.70
780,Vinegar - White Wine,$4.58
781,Wine - Ej Gallo Sonoma,$2.46
782,Sugar - Invert,$2.57
783,"Beef - Chuck, Boneless",$4.46
784,"Soup - Knorr, Veg / Beef",$9.19
785,Gelatine Leaves - Envelopes,$5.04
786,Ginger - Pickled,$1.29
787,"Lettuce - Romaine, Heart",$6.28
788,Onions - Vidalia,$9.51
789,Wine - Winzer Krems Gruner,$6.00
790,Creme De Banane - Marie,$5.29
791,Muffin - Mix - Strawberry Rhubarb,$4.19
792,Tart - Lemon,$3.69
793,"Cheese - Cheddar, Medium",$6.22
794,Extract - Almond,$0.69
795,Barramundi,$8.54
796,True - Vue Containers,$6.86
797,Appetizer - Shrimp Puff,$3.94
798,"Chicken - Breast, 5 - 7 Oz",$4.08
799,Calypso - Lemonade,$6.10
800,Brandy Cherry - Mcguinness,$7.92
801,Pork - Caul Fat,$7.95
802,Spice - Chili Powder Mexican,$8.20
803,Potatoes - Idaho 80 Count,$8.06
804,Flour - Chickpea,$9.89
805,Wine - Stoneliegh Sauvignon,$3.49
806,Wine - Fume Blanc Fetzer,$7.91
807,Pate - Liver,$1.68
808,"Doilies - 7, Paper",$5.94
809,Chips - Miss Vickies,$0.67
810,Sage - Fresh,$8.65
811,Chocolate - Liqueur Cups With Foil,$6.06
812,Pork Ham Prager,$2.79
813,Anchovy Paste - 56 G Tube,$1.63
814,"Wine - Sherry Dry Sack, William",$0.24
815,"Pail - 15l White, With Handle",$7.30
816,"Crab - Back Fin Meat, Canned",$0.91
817,Bread Sour Rolls,$1.27
818,"Crab - Dungeness, Whole, live",$5.03
819,Beef - Top Butt Aaa,$7.26
820,Lime Cordial - Roses,$3.77
821,Dried Cherries,$5.21
822,Sprite - 355 Ml,$4.31
823,Hagen Daza - Dk Choocolate,$2.10
824,Vodka - Smirnoff,$0.33
825,"Pork - Ham, Virginia",$4.65
826,Kale - Red,$5.60
827,Juice - Apple 284ml,$8.53
828,Container - Foam Dixie 12 Oz,$1.30
829,Soup - Campbells - Tomato,$9.92
830,Cheese - Pied De Vents,$9.20
831,Cheese - Gouda Smoked,$3.80
832,Cleaner - Lime Away,$5.74
833,Papadam,$4.83
834,"Wine - White, Pelee Island",$4.57
835,Croissants Thaw And Serve,$0.50
836,Broom - Push,$0.71
837,Blueberries,$3.27
838,"Roe - Lump Fish, Red",$4.61
839,"Veal - Brisket, Provimi,bnls",$5.61
840,Syrup - Kahlua Chocolate,$0.87
841,Jack Daniels,$0.28
842,Scrubbie - Scotchbrite Hand Pad,$8.14
843,Coffee - Frthy Coffee Crisp,$9.27
844,Extract - Lemon,$4.49
845,Pail With Metal Handle 16l White,$1.38
846,"Cup - 6oz, Foam",$7.52
847,Ketchup - Tomato,$3.89
848,Soup - Campbells Beef Stew,$5.43
849,Chicken - Whole,$2.06
850,"Wine - White, Ej Gallo",$6.33
851,Tamarind Paste,$1.25
852,Wine - Masi Valpolocell,$9.33
853,Truffle - Peelings,$4.45
854,Broom Handle,$6.95
855,Eggplant Oriental,$9.55
856,"Flour - Bran, Red",$8.13
857,Pie Box - Cello Window 2.5,$1.26
858,French Pastries,$7.73
859,Chocolate - Dark Callets,$6.61
860,Grenadillo,$9.16
861,Macaroons - Homestyle Two Bit,$1.29
862,Chinese Lemon Pork,$5.45
863,"Seedlings - Mix, Organic",$6.63
864,Scampi Tail,$4.38
865,Pork - European Side Bacon,$7.65
866,Cactus Pads,$0.42
867,Sauerkraut,$5.00
868,Island Oasis - Raspberry,$9.32
869,Chef Hat 20cm,$5.36
870,Wheat - Soft Kernal Of Wheat,$4.62
871,Chives - Fresh,$0.37
872,Cranberries - Dry,$4.86
873,Urban Zen Drinks,$6.42
874,Wine - Sauvignon Blanc,$1.50
875,Sugar Thermometer,$5.28
876,Ecolab - Hand Soap Form Antibac,$3.69
877,Contreau,$1.47
878,"Soup - Knorr, Country Bean",$0.62
879,Wine - German Riesling,$6.47
880,Bandage - Fexible 1x3,$9.75
881,Mushrooms - Honey,$6.17
882,Shrimp - Black Tiger 8 - 12,$0.23
883,Apple - Fuji,$6.65
884,Cookies - Englishbay Wht,$4.63
885,"Pasta - Tortellini, Fresh",$0.74
886,Cheese - Cheddarsliced,$3.42
887,Tuna - Fresh,$7.24
888,Beef - Top Sirloin - Aaa,$4.10
889,Lettuce - Arugula,$7.62
890,Orange - Blood,$8.19
891,Bread - French Baquette,$2.97
892,Mousse - Banana Chocolate,$1.93
893,Garbag Bags - Black,$0.90
894,Tray - 12in Rnd Blk,$2.14
895,Sauce - Cranberry,$4.16
896,Beef - Top Butt,$6.69
897,Black Currants,$6.94
898,"Doilies - 12, Paper",$2.74
899,Muffin - Mix - Creme Brule 15l,$8.63
900,Apron,$6.68
901,Juice - Apple Cider,$6.93
902,Container - Hngd Cll Blk 7x7x3,$2.35
903,"Shrimp - 16/20, Peeled Deviened",$6.67
904,Yucca,$6.77
905,Extract - Raspberry,$3.43
906,Water Chestnut - Canned,$2.21
907,Gatorade - Fruit Punch,$1.98
908,Sauce - Roasted Red Pepper,$2.41
909,Pate - Cognac,$4.54
910,Piping - Bags Quizna,$5.08
911,Parasol Pick Stir Stick,$2.55
912,Sauce - Roasted Red Pepper,$1.08
913,Longos - Grilled Chicken With,$5.34
914,Table Cloth 54x54 Colour,$1.92
915,Celery Root,$9.77
916,Lychee - Canned,$7.10
917,Parsley - Dried,$0.74
918,"Wine - Red, Antinori Santa",$9.44
919,Island Oasis - Sweet And Sour Mix,$5.73
920,Wine - Soave Folonari,$3.61
921,Soup - Base Broth Beef,$8.83
922,Pork - Backfat,$4.58
923,"Salmon - Atlantic, No Skin",$8.75
924,"Salmon - Atlantic, Skin On",$1.71
925,Vodka - Moskovskaya,$1.24
926,Muffin - Carrot Individual Wrap,$1.63
927,Glaze - Clear,$3.41
928,Soup - Base Broth Chix,$8.33
929,"Mushroom - Shitake, Dry",$2.14
930,Bandage - Finger Cots,$8.10
931,"Nut - Pecan, Halves",$7.96
932,Tomato - Green,$8.96
933,"Tart Shells - Sweet, 3",$6.90
934,External Supplier,$1.13
935,Rabbit - Saddles,$4.62
936,"Asparagus - Green, Fresh",$1.33
937,Wine - Jafflin Bourgongone,$8.30
938,"Pasta - Penne, Rigate, Dry",$9.01
939,Quail - Jumbo,$8.44
940,Baking Soda,$8.57
941,Wine - Prosecco Valdobienne,$2.65
942,Bread - Pumpernickel,$0.87
943,"Pepper - Chipotle, Canned",$1.32
944,Cheese Cloth No 100,$3.15
945,Chinese Foods - Pepper Beef,$0.44
946,Sugar - Monocystal / Rock,$8.92
947,Bread - Pita,$8.68
948,Paper Cocktail Umberlla 80 - 180,$9.73
949,Cookie - Oreo 100x2,$7.48
950,"Marsala - Sperone, Fine, D.o.c.",$3.02
951,Muffin - Carrot Individual Wrap,$1.80
952,Appetizer - Tarragon Chicken,$9.51
953,Grand Marnier,$9.06
954,Prunes - Pitted,$6.95
955,Puree - Blackcurrant,$2.43
956,Broccoli - Fresh,$4.22
957,Mortadella,$9.28
958,Lid - 3oz Med Rec,$4.87
959,Pizza Pizza Dough,$5.01
960,"Mushroom - Trumpet, Dry",$1.78
961,Filling - Mince Meat,$8.57
962,Cheese - Gouda,$3.60
963,Pastry - Choclate Baked,$6.93
964,Taro Leaves,$3.74
965,Cheese - St. Paulin,$9.83
966,Rappini - Andy Boy,$2.22
967,"Artichoke - Hearts, Canned",$5.15
968,Cheese - Ermite Bleu,$8.80
969,Rice - Long Grain,$4.36
970,Trout - Smoked,$2.80
971,Wine - Kwv Chenin Blanc South,$6.39
972,Aspic - Amber,$2.04
973,Towel Dispenser,$6.47
974,"Crab - Dungeness, Whole",$0.38
975,Fruit Mix - Light,$7.71
976,Bread - Crusty Italian Poly,$3.62
977,Cleaner - Pine Sol,$9.21
978,"Pork - Loin, Center Cut",$7.17
979,"Soup - Knorr, French Onion",$9.29
980,Apple - Fuji,$6.82
981,Pastry - Baked Cinnamon Stick,$2.22
982,Tomatoes - Grape,$7.94
983,Pie Filling - Pumpkin,$8.37
984,Cheese - Goat With Herbs,$0.43
985,Rice - Aborio,$0.41
986,Longos - Chicken Cordon Bleu,$1.17
987,Beer - Corona,$6.11
988,Butter - Pod,$5.00
989,"Jam - Blackberry, 20 Ml Jar",$4.59
990,Longos - Grilled Veg Sandwiches,$0.27
991,"Appetizer - Spring Roll, Veg",$0.28
992,Muffins - Assorted,$4.27
993,Crackers - Melba Toast,$5.73
994,Wine - Bouchard La Vignee Pinot,$9.35
995,Pickles - Gherkins,$0.62
996,Oil - Grapeseed Oil,$8.01
997,"Pork - Ham, Virginia",$8.08
998,"Nut - Peanut, Roasted",$0.95
999,Wine - Lamancha Do Crianza,$8.36
1000,"Potatoes - Yukon Gold, 80 Ct",$4.96
